acceleration.x_mean,acceleration.x_std,acceleration.x_max,acceleration.x_min,acceleration.x_var,acceleration.x_freq_mean,acceleration.x_freq_max,acceleration.x_freq_min,acceleration.x_freq_var,acceleration.y_mean,acceleration.y_std,acceleration.y_max,acceleration.y_min,acceleration.y_var,acceleration.y_freq_mean,acceleration.y_freq_max,acceleration.y_freq_min,acceleration.y_freq_var,acceleration.z_mean,acceleration.z_std,acceleration.z_max,acceleration.z_min,acceleration.z_var,acceleration.z_freq_mean,acceleration.z_freq_max,acceleration.z_freq_min,acceleration.z_freq_var,rotationRate.alpha_mean,rotationRate.alpha_std,rotationRate.alpha_max,rotationRate.alpha_min,rotationRate.alpha_var,rotationRate.alpha_freq_mean,rotationRate.alpha_freq_max,rotationRate.alpha_freq_min,rotationRate.alpha_freq_var,rotationRate.beta_mean,rotationRate.beta_std,rotationRate.beta_max,rotationRate.beta_min,rotationRate.beta_var,rotationRate.beta_freq_mean,rotationRate.beta_freq_max,rotationRate.beta_freq_min,rotationRate.beta_freq_var,rotationRate.gamma_mean,rotationRate.gamma_std,rotationRate.gamma_max,rotationRate.gamma_min,rotationRate.gamma_var,rotationRate.gamma_freq_mean,rotationRate.gamma_freq_max,rotationRate.gamma_freq_min,rotationRate.gamma_freq_var,label
-0.113954367,0.324068632,1.314145352,-1.044156258,0.105020478,2.75853862,68.37261999,0.440218527,63.08908986,3.547831783,0.158569528,3.922874592,2.701666825,0.025144295,5.328601764,2128.69907,0.448647109,7538.933653,9.138257896,0.050719132,9.384483226,8.99849775,0.00257243,9.578661965,5482.954738,0.067155215,50014.44455,0.904641774,0.72787933,6.855028517,-0.266287136,0.52980832,11.54199074,542.7850644,2.243657082,675.1636768,0.099358159,0.953607814,8.933872499,-1.780226686,0.909367862,14.94759149,129.1819025,5.502863167,327.2040844,0.143916273,1.288326468,5.025431148,-11.05823072,1.659785088,16.40770816,182.4151519,4.511137146,737.4255165,0
-1.622368738,0.244596373,-1.08814061,-2.350713854,0.059827386,3.00018214,973.4212427,0.127044907,1606.083704,4.544584942,0.123555298,4.701095155,4.181902523,0.015265912,5.332135611,2726.750965,0.084572558,12372.66399,8.49844115,0.037786122,8.627499792,8.400332138,0.001427791,8.907787427,5099.06469,0.098368466,43255.60776,0.725205593,0.818128381,3.920753516,-10.25282772,0.669334047,15.37029522,435.1233557,5.638029006,480.2390104,0.043908421,0.699601062,2.068064719,-8.426998678,0.489441647,11.81414577,73.28247607,1.735222689,154.7582756,-0.064278036,1.7604492,6.924767775,-14.05970099,3.099181385,21.78616265,169.4419115,4.71791972,1384.251766,0
0.255161152,0.176216896,0.423213933,-0.314903722,0.031052394,1.637172397,153.0966909,0.328584814,54.98437872,3.679300843,0.216688923,4.408100454,3.230682579,0.046954089,5.455671465,2207.580506,0.407899535,8120.713966,9.086920467,0.090705713,9.289445728,8.703903198,0.008227526,9.85573375,5452.15228,0.158056066,49451.06695,0.703067995,0.53264639,2.589556659,-1.362851998,0.283712177,4.500122302,421.8407971,0.181543462,446.2752566,0.125674164,0.826385892,8.795398942,-1.459273743,0.682913643,11.964721,119.6234893,4.127674691,275.3871209,0.074121624,0.768527885,2.482795603,-4.068580328,0.59063511,6.555040641,116.9591465,0.48218066,314.1182822,0
0.309709214,0.197118182,0.555799649,-0.596256934,0.038855578,2.127841132,185.8255284,0.572919056,76.29866154,3.828127099,0.118667965,4.011950762,3.400429884,0.014082086,4.761334305,2296.876259,0.241217009,8778.499116,9.027271196,0.081744531,9.797313752,8.607533741,0.006682168,10.41858761,5416.362718,0.637957703,48790.4308,0.666477311,1.116866959,3.324061343,-15.14416946,1.247391805,20.68783874,399.8863866,8.166795502,585.7162231,-0.141238426,2.773602823,4.387975803,-38.96211414,7.692872622,49.37635511,216.6177962,19.485798,2181.975232,0.072828296,0.591868867,5.017752469,-1.001103396,0.350308756,6.090597062,78.98187729,0.665781977,175.9219486,0
0.602644858,0.423736304,0.965936942,-1.149037007,0.179552455,2.868620417,361.5869146,0.089429582,317.2314323,6.008969251,0.27276321,6.33140763,5.38995477,0.074399768,8.010898575,3605.381551,0.447651499,21645.01784,7.749071219,0.210674991,8.304339754,7.506355497,0.044383952,9.368282626,4649.442731,0.405042749,35967.68412,-0.227061343,0.64765575,3.7126386,-3.796707182,0.41945797,8.418928312,136.2368057,2.430724624,211.3110822,-0.016576649,0.621921534,1.832393631,-5.962322984,0.386786394,9.389311417,79.97552486,3.254332416,143.6907526,0.165839163,2.002771735,6.691153763,-11.11163238,4.011094621,16.886001,273.3111734,2.016680021,2134.010225,0
-0.256392732,0.102457659,-0.113974959,-0.69929364,0.010497572,1.257321025,153.8356393,0.255623208,44.14952928,3.289989805,0.090358661,3.532411144,2.799092463,0.008164688,4.193782062,1973.993883,0.262435706,6481.722589,9.221079557,0.040618515,9.301178494,9.098263595,0.001649864,9.62696449,5532.647734,0.102763575,50925.29474,0.019968724,0.47699225,4.268238559,-0.777861029,0.227521606,6.468807998,68.28457718,2.073313895,94.67921526,0.014169937,0.350853495,1.942645096,-1.083020732,0.123098175,3.4658883,66.87533904,0.750698835,61.84389736,0.087242962,0.42826822,2.711912011,-0.910047209,0.183413668,3.393663113,57.64771142,0.211432479,102.9146386,0
-1.114701669,0.158837297,-0.945634631,-1.800337635,0.025229287,2.437167277,668.8210017,0.370871394,754.7084456,6.15201116,0.155093426,6.274181584,5.619910978,0.024053971,7.26594467,3691.206696,0.215675355,22669.95916,7.491662016,0.090887948,7.808784742,7.403056523,0.008260619,8.188946699,4494.99721,0.161153512,33612.88912,-0.082244139,1.137164153,3.159516528,-13.45439853,1.293142311,19.63196883,136.6752419,7.916307987,393.2365031,-0.082579677,0.804416155,1.443802501,-9.400969448,0.64708535,12.69300471,113.1924114,4.727898924,230.5833978,-0.030769736,0.810848843,1.208790046,-8.184891907,0.657475846,11.64155149,99.99328578,3.879445089,258.8703769,0
-0.066521208,0.144333873,0.277381244,-0.517536348,0.020832267,1.219085506,39.91272457,0.200656237,13.647401,4.680341019,0.073377638,4.803956577,4.456839197,0.005384278,5.095363559,2808.204611,0.050811655,13120.61768,8.603272536,0.045599324,8.720394443,8.494557235,0.002079298,8.842795065,5161.963521,0.002350404,44332.82947,0.127378931,0.341081123,3.359154672,-1.120213421,0.116336332,5.699628042,76.42735855,2.169186869,46.93493845,-0.169582478,1.241059111,2.424297408,-15.40193081,1.540227717,20.76632629,154.0977864,8.017551319,508.6110252,-0.030079152,0.593992398,1.931234642,-2.791374133,0.352826969,6.586300361,91.71202063,1.723662193,168.5068555,0
0.702408382,0.118809074,0.908748306,0.09110175,0.014115596,2.055620555,421.4450289,0.348163181,300.2561869,5.688966586,0.219540575,5.890633,4.097924819,0.048198064,8.436985862,3413.379951,0.870172537,19376.2924,7.950642183,0.155800223,9.100881225,7.795097981,0.02427371,9.891633145,4770.38531,0.615174193,37844.32222,0.152401559,0.778607243,5.228067605,-6.917229522,0.606229238,11.40408012,91.44093528,3.37378766,247.0140113,-0.044915668,0.784643265,1.039182155,-10.60808917,0.615665054,14.17907793,71.3610037,5.818482264,168.9475665,0.080237101,0.914911004,3.848047151,-10.01896464,0.837062146,15.7077148,95.85653027,3.387938115,258.5307163,0
-0.000888357,0.363247967,0.405255567,-1.673949752,0.131949085,2.052494229,76.87896355,0.096512805,74.82524306,3.73205563,0.434062997,5.196980484,3.219778016,0.188410685,5.843202481,2239.233378,0.158442296,8435.65852,9.044510314,0.237141242,9.297061556,7.98814469,0.056235968,10.31057063,5426.706188,0.048753029,49009.27757,0.205832009,1.184233684,6.60855291,-3.534343208,1.402409418,8.928184201,183.0995092,0.245990659,785.750858,0.094655996,0.853924278,4.362984287,-2.157980484,0.729186673,9.653005209,101.384745,2.344685325,348.9781621,0.066948852,1.434916024,5.294242109,-7.726383744,2.058983995,10.31006545,196.6036872,0.406098173,1129.723253,0
