_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499ceaa88c9300588ba993,2024-11-29T10:52:26.536Z,-0.1,-0.1,0.3,-6.3,6.9,-3.6,0
67499ceaa88c9300588ba994,2024-11-29T10:52:26.552Z,0,0,0.3,-6.4,-1.1,-3.4,0
67499ceaa88c9300588ba995,2024-11-29T10:52:26.569Z,0,0,0.3,-3.5,1.6,-3.2,0
67499ceaa88c9300588ba996,2024-11-29T10:52:26.586Z,-0.1,0,0.4,-0.7,6.3,-3.3,0
67499ceaa88c9300588ba997,2024-11-29T10:52:26.603Z,0,0,0.3,1.9,7.3,-2.3,0
67499ceaa88c9300588ba998,2024-11-29T10:52:26.619Z,0,0.1,0.2,2.1,6,-2.3,0
67499ceaa88c9300588ba999,2024-11-29T10:52:26.636Z,0.1,0.1,0.3,2.2,7.1,-2.4,0
67499ceaa88c9300588ba99a,2024-11-29T10:52:26.652Z,0.2,0,0.4,4.1,6.5,-3.5,0
67499ceaa88c9300588ba99b,2024-11-29T10:52:26.669Z,0.3,0,0.3,4.8,6,-5.2,0
67499ceaa88c9300588ba99c,2024-11-29T10:52:26.686Z,0.2,0,0.3,5.9,7,-6.9,0
67499ceaa88c9300588ba99d,2024-11-29T10:52:26.702Z,-0.2,0.1,0.3,7.2,8.6,-7.1,0
67499ceaa88c9300588ba99e,2024-11-29T10:52:26.719Z,-0.4,0.2,0.4,8.5,7.6,-5.1,0
67499ceaa88c9300588ba99f,2024-11-29T10:52:26.736Z,-0.3,0.2,0.3,8.9,5.7,-3.4,0
67499ceaa88c9300588ba9a0,2024-11-29T10:52:26.752Z,-0.1,0.1,0.1,8.9,4.8,-3,0
67499ceaa88c9300588ba9a1,2024-11-29T10:52:26.769Z,0.1,0.1,0.1,8.6,4.7,-4.1,0
67499ceaa88c9300588ba9a2,2024-11-29T10:52:26.786Z,0,0.1,0.1,9.1,4.7,-4.8,0
67499ceaa88c9300588ba9a3,2024-11-29T10:52:26.802Z,-0.1,0.2,0.1,9.8,5.6,-4.8,0
67499ceaa88c9300588ba9a4,2024-11-29T10:52:26.819Z,-0.3,0.2,0,9.8,6.2,-3.4,0
67499ceaa88c9300588ba9a5,2024-11-29T10:52:26.839Z,-0.2,0.2,-0.1,7.9,5.1,-1.9,0
67499ceaa88c9300588ba9a6,2024-11-29T10:52:26.852Z,-0.1,0.2,-0.2,5.3,2.8,-1.4,0
67499ceaa88c9300588ba9a7,2024-11-29T10:52:26.869Z,-0.2,0.2,-0.3,0.8,3.4,-0.1,0
67499ceaa88c9300588ba9a8,2024-11-29T10:52:26.886Z,-0.4,0.2,-0.7,-2.3,2,1.4,0
67499ceaa88c9300588ba9a9,2024-11-29T10:52:26.904Z,-0.1,0.1,-0.2,-3.3,-0.8,1.8,0
67499ceaa88c9300588ba9aa,2024-11-29T10:52:26.919Z,-0.1,0.1,-0.2,-2.6,-0.4,1.3,0
67499ceaa88c9300588ba9ab,2024-11-29T10:52:26.936Z,0.3,0.1,0.4,-0.2,1.7,0.5,0
67499cefa88c9300588ba9ad,2024-11-29T10:52:31.102Z,0,0,-0.1,-1.1,-0.8,-0.1,0
67499cefa88c9300588ba9ae,2024-11-29T10:52:31.119Z,0.1,0,0.1,-0.9,-0.9,-0.4,0
67499cefa88c9300588ba9af,2024-11-29T10:52:31.136Z,0.1,0,0.1,-0.1,-0.7,-0.9,0
67499cefa88c9300588ba9b0,2024-11-29T10:52:31.152Z,0,0.1,0.1,0.4,-0.5,-1,0
67499cefa88c9300588ba9b1,2024-11-29T10:52:31.169Z,-0.1,0.1,0.2,0.4,-1.3,-0.8,0
67499cefa88c9300588ba9b2,2024-11-29T10:52:31.186Z,-0.1,0.2,0.2,0.3,-1.8,-0.1,0
67499cefa88c9300588ba9b3,2024-11-29T10:52:31.202Z,-0.1,0.1,0.2,1,-1.9,-0.1,0
67499cefa88c9300588ba9b4,2024-11-29T10:52:31.219Z,0,0.2,0.3,2.5,-1.6,-0.1,0
67499cefa88c9300588ba9b5,2024-11-29T10:52:31.236Z,0,0.1,0.2,3.7,-3.6,-0.9,0
67499cefa88c9300588ba9b6,2024-11-29T10:52:31.252Z,0.1,0.1,-0.3,1.8,1.4,-1.4,0
67499cefa88c9300588ba9b7,2024-11-29T10:52:31.269Z,0,0.1,0,-0.1,0.4,-0.9,0
67499cefa88c9300588ba9b8,2024-11-29T10:52:31.285Z,0,0,0,-1.4,-0.6,-0.4,0
67499cefa88c9300588ba9b9,2024-11-29T10:52:31.302Z,0,0,0.1,-1.8,-1.1,0.1,0
67499cefa88c9300588ba9ba,2024-11-29T10:52:31.319Z,0,0,0.1,-1.2,-0.8,0.3,0
67499cefa88c9300588ba9bb,2024-11-29T10:52:31.335Z,0.1,0.1,0.1,0,-0.8,0.1,0
67499cefa88c9300588ba9bc,2024-11-29T10:52:31.352Z,0,0.1,0.1,0.6,-0.2,-0.2,0
67499cefa88c9300588ba9bd,2024-11-29T10:52:31.369Z,-0.1,0.1,0,0.8,-0.1,-0.6,0
67499cefa88c9300588ba9be,2024-11-29T10:52:31.386Z,0,0.1,0,-0.3,-0.6,-0.4,0
67499cefa88c9300588ba9bf,2024-11-29T10:52:31.402Z,0.1,0.1,0.1,-0.8,-0.1,-0.5,0
67499cefa88c9300588ba9c0,2024-11-29T10:52:31.419Z,0,0.1,0.2,-0.8,0.5,-0.5,0
67499cefa88c9300588ba9c1,2024-11-29T10:52:31.436Z,0,0,0.1,-0.8,0.1,-0.7,0
67499cefa88c9300588ba9c2,2024-11-29T10:52:31.452Z,-0.1,0.1,0.2,-0.2,-0.3,-0.3,0
67499cefa88c9300588ba9c3,2024-11-29T10:52:31.469Z,0,0.1,0.2,0.9,0.1,0,0
67499cefa88c9300588ba9c4,2024-11-29T10:52:31.485Z,0,0.1,0.1,1,1.3,0,0
67499cefa88c9300588ba9c5,2024-11-29T10:52:31.502Z,0,0.1,0,-1.2,0.6,0.1,0
67499cefa88c9300588ba9c6,2024-11-29T10:52:31.519Z,0,0.1,0.1,-1.8,-0.6,-0.3,0
67499cefa88c9300588ba9c7,2024-11-29T10:52:31.536Z,-0.1,0.2,0.4,-0.1,-1.4,0.6,0
67499cefa88c9300588ba9c8,2024-11-29T10:52:31.552Z,0,0.1,0.4,1.8,-0.8,0.2,0
67499cefa88c9300588ba9c9,2024-11-29T10:52:31.569Z,0,0.2,0.4,3.7,0,-0.1,0
67499cefa88c9300588ba9ca,2024-11-29T10:52:31.585Z,0.1,0.1,0.1,4.3,1,-0.4,0
67499cefa88c9300588ba9cb,2024-11-29T10:52:31.602Z,0,0.1,-0.1,3.5,-0.4,-0.1,0
67499cefa88c9300588ba9cc,2024-11-29T10:52:31.619Z,0,0.1,0,1.4,-1.9,-0.7,0
67499cefa88c9300588ba9cd,2024-11-29T10:52:31.635Z,-0.1,0.1,0.1,1.4,-4.2,0.3,0
67499cefa88c9300588ba9ce,2024-11-29T10:52:31.652Z,0,0.1,0.1,2.6,-2.9,0.4,0
67499cefa88c9300588ba9cf,2024-11-29T10:52:31.669Z,0,0,-0.1,3.3,1.6,0.3,0
67499cefa88c9300588ba9d0,2024-11-29T10:52:31.686Z,0.1,0,0.1,2.4,1.9,-0.1,0
67499cefa88c9300588ba9d1,2024-11-29T10:52:31.702Z,0,0.1,0,0.5,0.1,0.2,0
67499cefa88c9300588ba9d2,2024-11-29T10:52:31.719Z,0.1,0.1,-0.1,-1.6,-2.3,0.4,0
67499cefa88c9300588ba9d3,2024-11-29T10:52:31.735Z,0.1,0,0,-2.5,-3.2,0.2,0
67499cefa88c9300588ba9d4,2024-11-29T10:52:31.774Z,-0.1,0.1,0.2,0.3,0.5,-0.3,0
67499cefa88c9300588ba9d5,2024-11-29T10:52:31.785Z,0,0.1,0,0.3,0,-0.3,0
67499cefa88c9300588ba9d6,2024-11-29T10:52:31.802Z,0,0.1,0,-0.5,-1.3,-0.3,0
67499cefa88c9300588ba9d7,2024-11-29T10:52:31.819Z,0,0.1,0,-1.1,-1.3,-0.5,0
67499cefa88c9300588ba9d8,2024-11-29T10:52:31.835Z,0,0.1,0.1,-1.2,-0.6,-0.2,0
67499cefa88c9300588ba9d9,2024-11-29T10:52:31.852Z,-0.1,0.1,0,-1,0.5,0.3,0
67499cefa88c9300588ba9da,2024-11-29T10:52:31.869Z,0.1,0,0.1,-0.5,-0.2,-0.6,0
67499cefa88c9300588ba9db,2024-11-29T10:52:31.886Z,0,0.1,0,-0.2,0.1,-0.6,0
67499cefa88c9300588ba9dc,2024-11-29T10:52:31.902Z,0,0.1,0,-0.2,0.4,-0.4,0
67499cefa88c9300588ba9dd,2024-11-29T10:52:31.919Z,0,0,-0.2,-1,0.5,-0.2,0
67499cefa88c9300588ba9de,2024-11-29T10:52:31.935Z,0,0,0.1,-2.8,-1,-0.1,0
67499cf5a88c9300588ba9e0,2024-11-29T10:52:36.119Z,0,0.1,0.1,0.5,0.6,3,0
