acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
-0.010719143926395686,-0.056842594162378655,-0.02270310769511689,-0.12823090838541149,-0.16867313738022857,-0.26311652373751465,0
-0.010667618195607112,-0.056185091722666884,-0.02288027365353894,-0.13218783958537855,-0.20816720563811916,-0.2978410282148649,0
-0.010384232045657997,-0.05500356473982541,-0.02311126859813607,-0.1354558814915926,-0.24156553851120435,-0.33217617065542177,0
-0.009891222589367811,-0.05331604303979843,-0.023372849477488314,-0.13737583738165063,-0.2676370252390781,-0.3642136420839119,0
-0.009221624080852317,-0.051179489739463284,-0.02364958925144217,-0.13731400033660737,-0.2854915903302999,-0.3920254157957395,0
-0.008418169966480664,-0.04868678792629572,-0.023932965829101233,-0.13474577946924796,-0.2946267427581863,-0.41379048010936176,0
-0.00753142925452147,-0.04596126989089503,-0.024219873153214493,-0.1293265946567024,-0.2949537171144161,-0.4279127842310909,0
-0.006617269914165309,-0.04314908379860765,-0.024510989180731486,-0.1209433891616377,-0.2868001016514634,-0.4331225206535267,0
-0.00573380132226002,-0.040409894934214055,-0.024809389026705375,-0.10974318249730353,-0.270887559310138,-0.42855437683120196,0
-0.00493800122132146,-0.03790658349830758,-0.025119658369531124,-0.0961380459088365,-0.2482854839277295,-0.41379843236365277,0
-0.004282282426706724,-0.03579469304430862,-0.02544757436364973,-0.08078813854800748,-0.22034380300010722,-0.38892167733826327,0
-0.003811292527054049,-0.034212385692967806,-0.025800224951741134,-0.06456569804040328,-0.18861016454473298,-0.35446031939817413,0
-0.003559244749285575,-0.033271578127035885,-0.026186283452619693,-0.04850316150238365,-0.15473806113511746,-0.31138484907731095,0
-0.003548026487615266,-0.03305079087465119,-0.026616085883148177,-0.033728239913681776,-0.12039288724528222,-0.26104119581087426,0
-0.0037862200302404662,-0.0335900762915896,-0.027101194508546478,-0.021388333890177153,-0.08716253986100087,-0.20507239370307342,0
-0.004269027484765673,-0.03488822974752895,-0.027653264417686972,-0.012566718061279014,-0.056478157353991004,-0.14532615024717413,0
-0.004978969919459672,-0.03690235372136612,-0.028282224009556916,-0.008193740641795918,-0.02954922864272486,-0.08375454073469091,0
-0.005887170861675667,-0.039549737852201526,-0.028993981084600603,-0.008957805126908528,-0.0073158493830799915,-0.02231252553596105,0
-0.0069550441300007745,-0.04271192756109217,-0.029788020057379443,-0.01522271445713217,0.009580503919512774,0.037138096191377215,0
-0.00813626003743733,-0.046240767273848876,-0.030655326552248188,-0.026959507335960805,0.020807640207253966,0.09291337365398313,0
-0.009378925077221382,-0.049966119587498664,-0.03157705286877771,-0.043701660211615985,0.02633595993585447,0.14357581629049748,0
-0.010627950800899217,-0.05370488470510436,-0.03252423337540072,-0.06453203108343065,0.026416654878338962,0.18798380484783422,0
-0.011827597189407584,-0.05727087784759033,-0.03345869785064848,-0.08810791842959727,0.021547757745126326,0.22532052882286271,0
-0.012924156227807659,-0.06048506281647652,-0.03433514367139769,-0.11272710071159707,0.012431251490012637,0.25510314198654316,0
-0.013868700188759258,-0.06318558762873,-0.035104146902777515,-0.13643305644878367,-7.567151663835416e-05,0.2771746781541164,0
-0.014619766155807864,-0.0652370361982758,-0.03571575013842606,-0.1571524259865961,-0.015012416518761994,0.2916827177136996,0
-0.015145794777621244,-0.06653831980405282,-0.036123190032511986,-0.17285306247096027,-0.03136741099033107,0.2990495598362469,0
-0.015427099543348432,-0.06702869816497357,-0.03628633702579829,-0.18170765380115736,-0.0481289981632578,0.299938542239004,0
-0.015457126408018423,-0.06669153871016344,-0.03617451019575465,-0.18224661582611912,-0.0643328977210618,0.2952201345495035,0
